Sentence,CueWords,Similarity,Important
" Background to the current application  1 The applicants Sharman Networks Ltd ('Sharman Networks'), Sharman License Holdings Ltd ('Sharman License') and Ms Nicola Anne Hemming ('Ms Hemming') are each the subject of asset preservation orders made by Wilcox J on 22 March 2005 ('the Mareva orders').",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.0535714285714,False
"When referring to the applicants generally, I will do so as 'the Sharman applicants'.",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.0,False
Each of the Sharman applicants was one of ten respondents to infringement of copyright proceedings brought by the present respondents ('the Music companies') in respect of the operation of what was described by the parties as the 'Kazaa system' ('the primary proceedings').,disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.102564102564,False
"Wilcox J made orders ancillary to the Mareva orders on 22 March 2005 requiring each of the Sharman applicants to disclose on affidavit the description and value of all of their assets, wherever situated, and to specify whether those assets were held by each applicant either beneficially or in trust for any other person or entity.",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.102564102564,False
2 Wilcox J delivered judgment on the complex issues of liability arising in the primary proceedings on 5 September 2005 ( Universal Music Australia Pty Ltd v Sharman License Holdings Ltd (2005) 220 ALR 1).,disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.05,False
"In the meantime, Ms Hemming had filed two disclosure affidavits pursuant to Wilcox J's orders of 22 March 2005 whilst Sharman License and Sharman Networks had unsuccessfully sought several stays on various grounds of that same order insofar as it applied to them (see Universal Music Australia Pty Ltd v Sharman License Holdings Ltd [2005] FCA 406 per Hely J, delivered 8 April 2005; Universal Music Australia Pty Ltd v Sharman License Holdings Ltd [2005] FCA 441 per Wilcox J, delivered 15 April 2005 and Sharman License Holdings Ltd v Universal Music Australia Pty Ltd [2005] FCA 505 per Moore J, delivered 28 April 2005).",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.0254237288136,False
"Disclosure affidavits were eventually sworn on behalf of Sharman License and Sharman Networks by Mr Gee on 19 April 2005, which were later superseded by further affidavits sworn also by Mr Gee on 16 June 2005.",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.0666666666667,False
"Sharman License and Sharman Networks had also unsuccessfully sought an enlargement of time in which to file an application for leave to appeal from Wilcox J's orders of 22 March 2005 (see Sharman License Holdings Ltd v Universal Music Australia Pty Ltd [2005] FCA 802 per Lindgren J, delivered on 17 June 2005).",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.06,False
"3 On 24 May 2005, the Music companies filed a further amended notice of motion seeking further orders ancillary to the Mareva orders, which application was heard over several days by Moore J and determined by his Honour on 17 November 2005 substantially in favour of the Music companies ( Universal Music Australia Pty Ltd v Sharman License Holdings Ltd [2005] FCA 1587).",disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.0526315789474,False
The Sharman applicants acknowledge that the orders made by Moore J pursuant to that determination were interlocutory in nature.,disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.105263157895,False
What had led to the Music companies' application for those ancillary orders were deficiencies in the asset disclosure affidavits provided by the Sharman applicants pursuant to the ancillary orders of Wilcox J made on 22 March 2005.,disclosure purported respondent requiring loan affidavit primary one order substantial proceeds established filing proceeding copyright practice mareva application absence asset cross-examination ancillary appeal sworn offshore disclosing multiple infringement company material refused part purpose realty judge payment made sale establishing leave prior repayment error authorisation original procedure making,0.105263157895,False
